"","GENE","CANCER_TYPE","SITE","HALLMARK"
"1041","CREBBP","ESCA","Digestive system","proliferative signalling"
"1042","CREBBP","ESCA","Digestive system","invasion and metastasis"
"1043","CREBBP","ESCA","Digestive system","genome instability and mutations"
"1044","CREBBP","LNM","Haematolymphoid","escaping programmed cell death"
"1045","CREBBP","LNM","Haematolymphoid","proliferative signalling"
"1046","CREBBP","LNM","Haematolymphoid","invasion and metastasis"
"1047","CREBBP","LNM","Haematolymphoid","genome instability and mutations"
"1048","CREBBP","SACA","Head and neck","escaping programmed cell death"
"1049","CREBBP","SACA","Head and neck","proliferative signalling"
"1050","CREBBP","SACA","Head and neck","invasion and metastasis"
"1051","CREBBP","SACA","Head and neck","genome instability and mutations"
"1052","CREBBP","MLYM","Haematolymphoid","escaping programmed cell death"
"1053","CREBBP","MLYM","Haematolymphoid","proliferative signalling"
"1054","CREBBP","MLYM","Haematolymphoid","invasion and metastasis"
"1055","CREBBP","MLYM","Haematolymphoid","genome instability and mutations"
"1056","CREBBP","HNSC","Head and neck","escaping programmed cell death"
"1057","CREBBP","HNSC","Head and neck","proliferative signalling"
"1058","CREBBP","HNSC","Head and neck","invasion and metastasis"
"1059","CREBBP","HNSC","Head and neck","genome instability and mutations"
"1060","CREBBP","BLCA","Urinary and male genital","escaping programmed cell death"
"1061","CREBBP","BLCA","Urinary and male genital","proliferative signalling"
"1062","CREBBP","BLCA","Urinary and male genital","invasion and metastasis"
"1063","CREBBP","BLCA","Urinary and male genital","genome instability and mutations"
"1064","CREBBP","NSCLC","Thoracic","escaping programmed cell death"
"1065","CREBBP","NSCLC","Thoracic","proliferative signalling"
"1066","CREBBP","NSCLC","Thoracic","invasion and metastasis"
"1067","CREBBP","NSCLC","Thoracic","genome instability and mutations"
"1068","CREBBP","HCC","Digestive system","escaping programmed cell death"
"1069","CREBBP","HCC","Digestive system","proliferative signalling"
"1070","CREBBP","HCC","Digestive system","invasion and metastasis"
"1071","CREBBP","HCC","Digestive system","genome instability and mutations"
"1072","CREBBP","LUSC","Thoracic","escaping programmed cell death"
"1073","CREBBP","LUSC","Thoracic","proliferative signalling"
"1074","CREBBP","LUSC","Thoracic","invasion and metastasis"
"1075","CREBBP","LUSC","Thoracic","genome instability and mutations"
"1076","CREBBP","NHL","Haematolymphoid","escaping programmed cell death"
"1077","CREBBP","NHL","Haematolymphoid","proliferative signalling"
"1078","CREBBP","NHL","Haematolymphoid","invasion and metastasis"
"1079","CREBBP","NHL","Haematolymphoid","genome instability and mutations"
"1080","CREBBP","SCLC","Thoracic","escaping programmed cell death"
"1081","CREBBP","SCLC","Thoracic","proliferative signalling"
"1082","CREBBP","SCLC","Thoracic","invasion and metastasis"
"1083","CREBBP","SCLC","Thoracic","genome instability and mutations"
"1084","CREBBP","ALL","Haematolymphoid","escaping programmed cell death"
"1085","CREBBP","ALL","Haematolymphoid","proliferative signalling"
"1086","CREBBP","ALL","Haematolymphoid","invasion and metastasis"
"1087","CREBBP","ALL","Haematolymphoid","genome instability and mutations"
"1088","CREBBP","PANCREAS","Digestive system","escaping programmed cell death"
"1089","CREBBP","PANCREAS","Digestive system","proliferative signalling"
"1090","CREBBP","PANCREAS","Digestive system","invasion and metastasis"
"1091","CREBBP","PANCREAS","Digestive system","genome instability and mutations"
"1092","CREBBP","DLBCLNOS","Soft tissue and bone","escaping programmed cell death"
"1093","CREBBP","DLBCLNOS","Soft tissue and bone","proliferative signalling"
"1094","CREBBP","DLBCLNOS","Soft tissue and bone","invasion and metastasis"
"1095","CREBBP","DLBCLNOS","Soft tissue and bone","genome instability and mutations"
"1096","CREBBP","BRCA","Breast","escaping programmed cell death"
"1097","CREBBP","BRCA","Breast","proliferative signalling"
"1098","CREBBP","BRCA","Breast","invasion and metastasis"
"1099","CREBBP","BRCA","Breast","genome instability and mutations"
"1100","CREBBP","MBL","Central nervous system","escaping programmed cell death"
"1101","CREBBP","MBL","Central nervous system","proliferative signalling"
"1102","CREBBP","MBL","Central nervous system","invasion and metastasis"
"1103","CREBBP","MBL","Central nervous system","genome instability and mutations"
"1104","CREBBP","CLLSLL","Haematolymphoid","escaping programmed cell death"
"1105","CREBBP","CLLSLL","Haematolymphoid","proliferative signalling"
"1106","CREBBP","CLLSLL","Haematolymphoid","invasion and metastasis"
"1107","CREBBP","CLLSLL","Haematolymphoid","genome instability and mutations"
"1108","CREBBP","BCC","Skin","escaping programmed cell death"
"1109","CREBBP","BCC","Skin","proliferative signalling"
"1110","CREBBP","BCC","Skin","invasion and metastasis"
"1111","CREBBP","BCC","Skin","genome instability and mutations"
"1112","CREBBP","PANET","Digestive system","escaping programmed cell death"
"1113","CREBBP","PANET","Digestive system","proliferative signalling"
"1114","CREBBP","PANET","Digestive system","invasion and metastasis"
"1115","CREBBP","PANET","Digestive system","genome instability and mutations"
"1116","CREBBP","CCRCC","Urinary and male genital","escaping programmed cell death"
"1117","CREBBP","CCRCC","Urinary and male genital","proliferative signalling"
"1118","CREBBP","CCRCC","Urinary and male genital","invasion and metastasis"
"1119","CREBBP","CCRCC","Urinary and male genital","genome instability and mutations"
"1120","CRTC1","ACYC","Head and neck","proliferative signalling"
"1121","CSF3R","HNSC","Head and neck","escaping programmed cell death"
"1122","CSF3R","HNSC","Head and neck","proliferative signalling"
"1123","CSF3R","CSCC","Skin","escaping programmed cell death"
"1124","CSF3R","CSCC","Skin","proliferative signalling"
"1125","CSF3R","AML","Haematolymphoid","escaping programmed cell death"
"1126","CSF3R","AML","Haematolymphoid","proliferative signalling"
"1127","CTCF","HNSC","Head and neck","genome instability and mutations"
"1128","CTCF","ALL","Haematolymphoid","genome instability and mutations"
"1129","CTCF","UCEC","Female genital","genome instability and mutations"
"1130","CTCF","NSCLC","Thoracic","genome instability and mutations"
"1131","CTCF","BRCA","Breast","genome instability and mutations"
"1132","CTNNB1","PRAD","Urinary and male genital","change of cellular energetics"
"1133","CTNNB1","PRAD","Urinary and male genital","escaping programmed cell death"
"1134","CTNNB1","PRAD","Urinary and male genital","genome instability and mutations"
"1135","CTNNB1","PRAD","Urinary and male genital","angiogenesis"
"1136","CTNNB1","PRAD","Urinary and male genital","cell replicative immortality"
"1137","CTNNB1","PRAD","Urinary and male genital","proliferative signalling"
"1138","CTNNB1","PRAD","Urinary and male genital","escaping immune response to cancer"
"1139","CTNNB1","PRAD","Urinary and male genital","invasion and metastasis"
"1140","CTNNB1","PRAD","Urinary and male genital","suppression of growth"
"1141","CTNNB1","COADREAD","Digestive system","change of cellular energetics"
"1142","CTNNB1","COADREAD","Digestive system","escaping programmed cell death"
"1143","CTNNB1","COADREAD","Digestive system","genome instability and mutations"
"1144","CTNNB1","COADREAD","Digestive system","angiogenesis"
"1145","CTNNB1","COADREAD","Digestive system","cell replicative immortality"
"1146","CTNNB1","COADREAD","Digestive system","proliferative signalling"
"1147","CTNNB1","COADREAD","Digestive system","escaping immune response to cancer"
"1148","CTNNB1","COADREAD","Digestive system","invasion and metastasis"
"1149","CTNNB1","COADREAD","Digestive system","suppression of growth"
"1150","CTNNB1","MBL","Central nervous system","change of cellular energetics"
"1151","CTNNB1","MBL","Central nervous system","escaping programmed cell death"
"1152","CTNNB1","MBL","Central nervous system","genome instability and mutations"
"1153","CTNNB1","MBL","Central nervous system","angiogenesis"
"1154","CTNNB1","MBL","Central nervous system","cell replicative immortality"
"1155","CTNNB1","MBL","Central nervous system","proliferative signalling"
"1156","CTNNB1","MBL","Central nervous system","escaping immune response to cancer"
"1157","CTNNB1","MBL","Central nervous system","invasion and metastasis"
"1158","CTNNB1","MBL","Central nervous system","suppression of growth"
"1159","CTNNB1","STAD","Digestive system","change of cellular energetics"
"1160","CTNNB1","STAD","Digestive system","escaping programmed cell death"
"1161","CTNNB1","STAD","Digestive system","genome instability and mutations"
"1162","CTNNB1","STAD","Digestive system","angiogenesis"
"1163","CTNNB1","STAD","Digestive system","cell replicative immortality"
"1164","CTNNB1","STAD","Digestive system","proliferative signalling"
"1165","CTNNB1","STAD","Digestive system","escaping immune response to cancer"
"1166","CTNNB1","STAD","Digestive system","invasion and metastasis"
"1167","CTNNB1","STAD","Digestive system","suppression of growth"
"1168","CTNNB1","RMS","Soft tissue and bone","change of cellular energetics"
"1169","CTNNB1","RMS","Soft tissue and bone","escaping programmed cell death"
"1170","CTNNB1","RMS","Soft tissue and bone","genome instability and mutations"
"1171","CTNNB1","RMS","Soft tissue and bone","angiogenesis"
"1172","CTNNB1","RMS","Soft tissue and bone","cell replicative immortality"
"1173","CTNNB1","RMS","Soft tissue and bone","proliferative signalling"
"1174","CTNNB1","RMS","Soft tissue and bone","escaping immune response to cancer"
"1175","CTNNB1","RMS","Soft tissue and bone","invasion and metastasis"
"1176","CTNNB1","RMS","Soft tissue and bone","suppression of growth"
"1177","CTNNB1","HCC","Digestive system","change of cellular energetics"
"1178","CTNNB1","HCC","Digestive system","escaping programmed cell death"
"1179","CTNNB1","HCC","Digestive system","genome instability and mutations"
"1180","CTNNB1","HCC","Digestive system","angiogenesis"
"1181","CTNNB1","HCC","Digestive system","cell replicative immortality"
"1182","CTNNB1","HCC","Digestive system","proliferative signalling"
"1183","CTNNB1","HCC","Digestive system","escaping immune response to cancer"
"1184","CTNNB1","HCC","Digestive system","invasion and metastasis"
"1185","CTNNB1","HCC","Digestive system","suppression of growth"
"1186","CTNNB1","COAD","Digestive system","change of cellular energetics"
"1187","CTNNB1","COAD","Digestive system","escaping programmed cell death"
"1188","CTNNB1","COAD","Digestive system","genome instability and mutations"
"1189","CTNNB1","COAD","Digestive system","angiogenesis"
"1190","CTNNB1","COAD","Digestive system","cell replicative immortality"
"1191","CTNNB1","COAD","Digestive system","proliferative signalling"
"1192","CTNNB1","COAD","Digestive system","escaping immune response to cancer"
"1193","CTNNB1","COAD","Digestive system","invasion and metastasis"
"1194","CTNNB1","COAD","Digestive system","suppression of growth"
"1195","CTNNB1","UCEC","Female genital","change of cellular energetics"
"1196","CTNNB1","UCEC","Female genital","escaping programmed cell death"
"1197","CTNNB1","UCEC","Female genital","genome instability and mutations"
"1198","CTNNB1","UCEC","Female genital","angiogenesis"
"1199","CTNNB1","UCEC","Female genital","cell replicative immortality"
"1200","CTNNB1","UCEC","Female genital","proliferative signalling"
"1201","CTNNB1","UCEC","Female genital","escaping immune response to cancer"
"1202","CTNNB1","UCEC","Female genital","invasion and metastasis"
"1203","CTNNB1","UCEC","Female genital","suppression of growth"
"1204","CTNNB1","LUAD","Thoracic","change of cellular energetics"
"1205","CTNNB1","LUAD","Thoracic","escaping programmed cell death"
"1206","CTNNB1","LUAD","Thoracic","genome instability and mutations"
"1207","CTNNB1","LUAD","Thoracic","angiogenesis"
"1208","CTNNB1","LUAD","Thoracic","cell replicative immortality"
"1209","CTNNB1","LUAD","Thoracic","proliferative signalling"
"1210","CTNNB1","LUAD","Thoracic","escaping immune response to cancer"
"1211","CTNNB1","LUAD","Thoracic","invasion and metastasis"
"1212","CTNNB1","LUAD","Thoracic","suppression of growth"
"1213","CTNNB1","ESCA","Digestive system","change of cellular energetics"
"1214","CTNNB1","ESCA","Digestive system","escaping programmed cell death"
"1215","CTNNB1","ESCA","Digestive system","genome instability and mutations"
"1216","CTNNB1","ESCA","Digestive system","angiogenesis"
"1217","CTNNB1","ESCA","Digestive system","cell replicative immortality"
"1218","CTNNB1","ESCA","Digestive system","proliferative signalling"
"1219","CTNNB1","ESCA","Digestive system","escaping immune response to cancer"
"1220","CTNNB1","ESCA","Digestive system","invasion and metastasis"
"1221","CTNNB1","ESCA","Digestive system","suppression of growth"
"1222","CTNNB1","WT","Urinary and male genital","change of cellular energetics"
"1223","CTNNB1","WT","Urinary and male genital","escaping programmed cell death"
"1224","CTNNB1","WT","Urinary and male genital","genome instability and mutations"
"1225","CTNNB1","WT","Urinary and male genital","angiogenesis"
"1226","CTNNB1","WT","Urinary and male genital","cell replicative immortality"
"1227","CTNNB1","WT","Urinary and male genital","proliferative signalling"
"1228","CTNNB1","WT","Urinary and male genital","escaping immune response to cancer"
"1229","CTNNB1","WT","Urinary and male genital","invasion and metastasis"
"1230","CTNNB1","WT","Urinary and male genital","suppression of growth"
"1231","CTNNB1","ACC","Endocrine and neuroendocrine","change of cellular energetics"
"1232","CTNNB1","ACC","Endocrine and neuroendocrine","escaping programmed cell death"
"1233","CTNNB1","ACC","Endocrine and neuroendocrine","genome instability and mutations"
"1234","CTNNB1","ACC","Endocrine and neuroendocrine","angiogenesis"
"1235","CTNNB1","ACC","Endocrine and neuroendocrine","cell replicative immortality"
"1236","CTNNB1","ACC","Endocrine and neuroendocrine","proliferative signalling"
"1237","CTNNB1","ACC","Endocrine and neuroendocrine","escaping immune response to cancer"
"1238","CTNNB1","ACC","Endocrine and neuroendocrine","invasion and metastasis"
"1239","CTNNB1","ACC","Endocrine and neuroendocrine","suppression of growth"
"1240","CTNNB1","BRCA","Breast","change of cellular energetics"
"1241","CTNNB1","BRCA","Breast","escaping programmed cell death"
"1242","CTNNB1","BRCA","Breast","genome instability and mutations"
"1243","CTNNB1","BRCA","Breast","angiogenesis"
"1244","CTNNB1","BRCA","Breast","cell replicative immortality"
"1245","CTNNB1","BRCA","Breast","proliferative signalling"
"1246","CTNNB1","BRCA","Breast","escaping immune response to cancer"
"1247","CTNNB1","BRCA","Breast","invasion and metastasis"
"1248","CTNNB1","BRCA","Breast","suppression of growth"
"1249","CTNNB1","NSCLC","Thoracic","change of cellular energetics"
"1250","CTNNB1","NSCLC","Thoracic","escaping programmed cell death"
"1251","CTNNB1","NSCLC","Thoracic","genome instability and mutations"
"1252","CTNNB1","NSCLC","Thoracic","angiogenesis"
"1253","CTNNB1","NSCLC","Thoracic","cell replicative immortality"
"1254","CTNNB1","NSCLC","Thoracic","proliferative signalling"
"1255","CTNNB1","NSCLC","Thoracic","escaping immune response to cancer"
"1256","CTNNB1","NSCLC","Thoracic","invasion and metastasis"
"1257","CTNNB1","NSCLC","Thoracic","suppression of growth"
"1258","CTNNB1","MEL","Skin","change of cellular energetics"
"1259","CTNNB1","MEL","Skin","escaping programmed cell death"
"1260","CTNNB1","MEL","Skin","genome instability and mutations"
"1261","CTNNB1","MEL","Skin","angiogenesis"
"1262","CTNNB1","MEL","Skin","cell replicative immortality"
"1263","CTNNB1","MEL","Skin","proliferative signalling"
"1264","CTNNB1","MEL","Skin","escaping immune response to cancer"
"1265","CTNNB1","MEL","Skin","invasion and metastasis"
"1266","CTNNB1","MEL","Skin","suppression of growth"
"1267","CTNNB1","LIHB","Digestive system","change of cellular energetics"
"1268","CTNNB1","LIHB","Digestive system","escaping programmed cell death"
"1269","CTNNB1","LIHB","Digestive system","genome instability and mutations"
"1270","CTNNB1","LIHB","Digestive system","angiogenesis"
"1271","CTNNB1","LIHB","Digestive system","cell replicative immortality"
"1272","CTNNB1","LIHB","Digestive system","proliferative signalling"
"1273","CTNNB1","LIHB","Digestive system","escaping immune response to cancer"
"1274","CTNNB1","LIHB","Digestive system","invasion and metastasis"
"1275","CTNNB1","LIHB","Digestive system","suppression of growth"
"1276","CUX1","MEL","Skin","genome instability and mutations"
"1277","CUX1","MEL","Skin","proliferative signalling"
"1278","CUX1","MEL","Skin","escaping programmed cell death"
"1279","CUX1","MEL","Skin","suppression of growth"
"1280","CUX1","MEL","Skin","angiogenesis"
"1281","CUX1","MEL","Skin","escaping immune response to cancer"
"1282","CUX1","MEL","Skin","invasion and metastasis"
"1283","CUX1","SBC","Digestive system","genome instability and mutations"
"1284","CUX1","SBC","Digestive system","proliferative signalling"
"1285","CUX1","SBC","Digestive system","escaping programmed cell death"
"1286","CUX1","SBC","Digestive system","suppression of growth"
"1287","CUX1","SBC","Digestive system","angiogenesis"
"1288","CUX1","SBC","Digestive system","escaping immune response to cancer"
"1289","CUX1","SBC","Digestive system","invasion and metastasis"
"1290","CUX1","PAAD","Digestive system","genome instability and mutations"
"1291","CUX1","PAAD","Digestive system","proliferative signalling"
"1292","CUX1","PAAD","Digestive system","escaping programmed cell death"
"1293","CUX1","PAAD","Digestive system","suppression of growth"
"1294","CUX1","PAAD","Digestive system","angiogenesis"
"1295","CUX1","PAAD","Digestive system","escaping immune response to cancer"
"1296","CUX1","PAAD","Digestive system","invasion and metastasis"
"1297","CUX1","LUAD","Thoracic","genome instability and mutations"
"1298","CUX1","LUAD","Thoracic","proliferative signalling"
"1299","CUX1","LUAD","Thoracic","escaping programmed cell death"
"1300","CUX1","LUAD","Thoracic","suppression of growth"
"1301","CUX1","LUAD","Thoracic","angiogenesis"
"1302","CUX1","LUAD","Thoracic","escaping immune response to cancer"
"1303","CUX1","LUAD","Thoracic","invasion and metastasis"
"1304","CUX1","GBM","Central nervous system","genome instability and mutations"
"1305","CUX1","GBM","Central nervous system","proliferative signalling"
"1306","CUX1","GBM","Central nervous system","escaping programmed cell death"
"1307","CUX1","GBM","Central nervous system","suppression of growth"
"1308","CUX1","GBM","Central nervous system","angiogenesis"
"1309","CUX1","GBM","Central nervous system","escaping immune response to cancer"
"1310","CUX1","GBM","Central nervous system","invasion and metastasis"
"1311","CUX1","UCEC","Female genital","genome instability and mutations"
"1312","CUX1","UCEC","Female genital","proliferative signalling"
"1313","CUX1","UCEC","Female genital","escaping programmed cell death"
"1314","CUX1","UCEC","Female genital","suppression of growth"
"1315","CUX1","UCEC","Female genital","angiogenesis"
"1316","CUX1","UCEC","Female genital","escaping immune response to cancer"
"1317","CUX1","UCEC","Female genital","invasion and metastasis"
"1318","CUX1","WDTC","Endocrine and neuroendocrine","genome instability and mutations"
"1319","CUX1","WDTC","Endocrine and neuroendocrine","proliferative signalling"
"1320","CUX1","WDTC","Endocrine and neuroendocrine","escaping programmed cell death"
"1321","CUX1","WDTC","Endocrine and neuroendocrine","suppression of growth"
"1322","CUX1","WDTC","Endocrine and neuroendocrine","angiogenesis"
"1323","CUX1","WDTC","Endocrine and neuroendocrine","escaping immune response to cancer"
"1324","CUX1","WDTC","Endocrine and neuroendocrine","invasion and metastasis"
"1325","CUX1","LUSC","Thoracic","genome instability and mutations"
"1326","CUX1","LUSC","Thoracic","proliferative signalling"
"1327","CUX1","LUSC","Thoracic","escaping programmed cell death"
"1328","CUX1","LUSC","Thoracic","suppression of growth"
"1329","CUX1","LUSC","Thoracic","angiogenesis"
"1330","CUX1","LUSC","Thoracic","escaping immune response to cancer"
"1331","CUX1","LUSC","Thoracic","invasion and metastasis"
"1332","CUX1","CCRCC","Urinary and male genital","genome instability and mutations"
"1333","CUX1","CCRCC","Urinary and male genital","proliferative signalling"
"1334","CUX1","CCRCC","Urinary and male genital","escaping programmed cell death"
"1335","CUX1","CCRCC","Urinary and male genital","suppression of growth"
"1336","CUX1","CCRCC","Urinary and male genital","angiogenesis"
"1337","CUX1","CCRCC","Urinary and male genital","escaping immune response to cancer"
"1338","CUX1","CCRCC","Urinary and male genital","invasion and metastasis"
"1339","CUX1","BRCA","Breast","genome instability and mutations"
"1340","CUX1","BRCA","Breast","proliferative signalling"
"1341","CUX1","BRCA","Breast","escaping programmed cell death"
"1342","CUX1","BRCA","Breast","suppression of growth"
"1343","CUX1","BRCA","Breast","angiogenesis"
"1344","CUX1","BRCA","Breast","escaping immune response to cancer"
"1345","CUX1","BRCA","Breast","invasion and metastasis"
"1346","CXCR4","MLYM","Haematolymphoid","proliferative signalling"
"1347","CXCR4","MLYM","Haematolymphoid","invasion and metastasis"
"1348","CXCR4","PCM","Haematolymphoid","proliferative signalling"
"1349","CXCR4","PCM","Haematolymphoid","invasion and metastasis"
"1350","CYLD","THYM","Thoracic","suppression of growth"
"1351","CYLD","THYM","Thoracic","tumour promoting inflammation"
"1352","CYLD","THYM","Thoracic","escaping programmed cell death"
"1353","CYLD","THYM","Thoracic","invasion and metastasis"
"1354","CYLD","THYM","Thoracic","angiogenesis"
"1355","CYLD","COADREAD","Digestive system","suppression of growth"
"1356","CYLD","COADREAD","Digestive system","tumour promoting inflammation"
"1357","CYLD","COADREAD","Digestive system","escaping programmed cell death"
"1358","CYLD","COADREAD","Digestive system","invasion and metastasis"
"1359","CYLD","COADREAD","Digestive system","angiogenesis"
"1360","CYLD","PCM","Haematolymphoid","suppression of growth"
"1361","CYLD","PCM","Haematolymphoid","tumour promoting inflammation"
"1362","CYLD","PCM","Haematolymphoid","escaping programmed cell death"
"1363","CYLD","PCM","Haematolymphoid","invasion and metastasis"
"1364","CYLD","PCM","Haematolymphoid","angiogenesis"
"1365","CYLD","BLCA","Urinary and male genital","suppression of growth"
"1366","CYLD","BLCA","Urinary and male genital","tumour promoting inflammation"
"1367","CYLD","BLCA","Urinary and male genital","escaping programmed cell death"
"1368","CYLD","BLCA","Urinary and male genital","invasion and metastasis"
"1369","CYLD","BLCA","Urinary and male genital","angiogenesis"
"1370","CYLD","PRAD","Urinary and male genital","suppression of growth"
"1371","CYLD","PRAD","Urinary and male genital","tumour promoting inflammation"
"1372","CYLD","PRAD","Urinary and male genital","escaping programmed cell death"
"1373","CYLD","PRAD","Urinary and male genital","invasion and metastasis"
"1374","CYLD","PRAD","Urinary and male genital","angiogenesis"
"1375","CYLD","STAD","Digestive system","suppression of growth"
"1376","CYLD","STAD","Digestive system","tumour promoting inflammation"
"1377","CYLD","STAD","Digestive system","escaping programmed cell death"
"1378","CYLD","STAD","Digestive system","invasion and metastasis"
"1379","CYLD","STAD","Digestive system","angiogenesis"
"1380","CYLD","NSCLC","Thoracic","suppression of growth"
"1381","CYLD","NSCLC","Thoracic","tumour promoting inflammation"
"1382","CYLD","NSCLC","Thoracic","escaping programmed cell death"
"1383","CYLD","NSCLC","Thoracic","invasion and metastasis"
"1384","CYLD","NSCLC","Thoracic","angiogenesis"
"1385","CYLD","NPC","Head and neck","suppression of growth"
"1386","CYLD","NPC","Head and neck","tumour promoting inflammation"
"1387","CYLD","NPC","Head and neck","escaping programmed cell death"
"1388","CYLD","NPC","Head and neck","invasion and metastasis"
"1389","CYLD","NPC","Head and neck","angiogenesis"
"1390","CYLD","OVT","Female genital","suppression of growth"
"1391","CYLD","OVT","Female genital","tumour promoting inflammation"
"1392","CYLD","OVT","Female genital","escaping programmed cell death"
"1393","CYLD","OVT","Female genital","invasion and metastasis"
"1394","CYLD","OVT","Female genital","angiogenesis"
"1395","CYLD","BRCA","Breast","suppression of growth"
"1396","CYLD","BRCA","Breast","tumour promoting inflammation"
"1397","CYLD","BRCA","Breast","escaping programmed cell death"
"1398","CYLD","BRCA","Breast","invasion and metastasis"
"1399","CYLD","BRCA","Breast","angiogenesis"
"1400","CYLD","HNSC","Head and neck","suppression of growth"
"1401","CYLD","HNSC","Head and neck","tumour promoting inflammation"
"1402","CYLD","HNSC","Head and neck","escaping programmed cell death"
"1403","CYLD","HNSC","Head and neck","invasion and metastasis"
"1404","CYLD","HNSC","Head and neck","angiogenesis"
"1405","DAXX","ACC","Endocrine and neuroendocrine","genome instability and mutations"
"1406","DAXX","ACC","Endocrine and neuroendocrine","escaping programmed cell death"
"1407","DAXX","ACC","Endocrine and neuroendocrine","proliferative signalling"
"1408","DAXX","ACC","Endocrine and neuroendocrine","invasion and metastasis"
"1409","DAXX","PANET","Digestive system","genome instability and mutations"
"1410","DAXX","PANET","Digestive system","escaping programmed cell death"
"1411","DAXX","PANET","Digestive system","proliferative signalling"
"1412","DAXX","PANET","Digestive system","invasion and metastasis"
"1413","DDB2","AML","Haematolymphoid","invasion and metastasis"
"1414","DDB2","AML","Haematolymphoid","genome instability and mutations"
"1415","DDB2","AML","Haematolymphoid","proliferative signalling"
"1416","DDB2","AML","Haematolymphoid","escaping programmed cell death"
"1417","DDB2","BLCA","Urinary and male genital","invasion and metastasis"
"1418","DDB2","BLCA","Urinary and male genital","genome instability and mutations"
"1419","DDB2","BLCA","Urinary and male genital","proliferative signalling"
"1420","DDB2","BLCA","Urinary and male genital","escaping programmed cell death"
"1421","DDR2","HCC","Digestive system","invasion and metastasis"
"1422","DDX3X","NHL","Haematolymphoid","change of cellular energetics"
"1423","DDX3X","NHL","Haematolymphoid","escaping programmed cell death"
"1424","DDX3X","NHL","Haematolymphoid","invasion and metastasis"
"1425","DDX3X","MBL","Central nervous system","change of cellular energetics"
"1426","DDX3X","MBL","Central nervous system","escaping programmed cell death"
"1427","DDX3X","MBL","Central nervous system","invasion and metastasis"
"1428","DDX3X","CLLSLL","Haematolymphoid","change of cellular energetics"
"1429","DDX3X","CLLSLL","Haematolymphoid","escaping programmed cell death"
"1430","DDX3X","CLLSLL","Haematolymphoid","invasion and metastasis"
"1431","DDX3X","DLBCLNOS","Soft tissue and bone","change of cellular energetics"
"1432","DDX3X","DLBCLNOS","Soft tissue and bone","escaping programmed cell death"
"1433","DDX3X","DLBCLNOS","Soft tissue and bone","invasion and metastasis"
"1434","DDX3X","MGCT","Urinary and male genital","change of cellular energetics"
"1435","DDX3X","MGCT","Urinary and male genital","escaping programmed cell death"
"1436","DDX3X","MGCT","Urinary and male genital","invasion and metastasis"
"1437","DDX3X","MEL","Skin","change of cellular energetics"
"1438","DDX3X","MEL","Skin","escaping programmed cell death"
"1439","DDX3X","MEL","Skin","invasion and metastasis"
"1440","DDX3X","BL","Haematolymphoid","change of cellular energetics"
"1441","DDX3X","BL","Haematolymphoid","escaping programmed cell death"
"1442","DDX3X","BL","Haematolymphoid","invasion and metastasis"
"1443","DDX3X","BRCA","Breast","change of cellular energetics"
"1444","DDX3X","BRCA","Breast","escaping programmed cell death"
"1445","DDX3X","BRCA","Breast","invasion and metastasis"
"1446","DDX3X","PANCREAS","Digestive system","change of cellular energetics"
"1447","DDX3X","PANCREAS","Digestive system","escaping programmed cell death"
"1448","DDX3X","PANCREAS","Digestive system","invasion and metastasis"
"1449","DDX3X","PLMESO","Soft tissue and bone","change of cellular energetics"
"1450","DDX3X","PLMESO","Soft tissue and bone","escaping programmed cell death"
"1451","DDX3X","PLMESO","Soft tissue and bone","invasion and metastasis"
"1452","DDX3X","HNSC","Head and neck","change of cellular energetics"
"1453","DDX3X","HNSC","Head and neck","escaping programmed cell death"
"1454","DDX3X","HNSC","Head and neck","invasion and metastasis"
"1455","DDX3X","MLYM","Haematolymphoid","change of cellular energetics"
"1456","DDX3X","MLYM","Haematolymphoid","escaping programmed cell death"
"1457","DDX3X","MLYM","Haematolymphoid","invasion and metastasis"
"1458","DDX3X","LNM","Haematolymphoid","change of cellular energetics"
"1459","DDX3X","LNM","Haematolymphoid","escaping programmed cell death"
"1460","DDX3X","LNM","Haematolymphoid","invasion and metastasis"
"1461","DDX6","MBL","Central nervous system","escaping programmed cell death"
"1462","DDX6","MBL","Central nervous system","proliferative signalling"
"1463","DDX6","MBL","Central nervous system","angiogenesis"
"1464","DICER1","MEL","Skin","cell replicative immortality"
"1465","DICER1","MEL","Skin","invasion and metastasis"
"1466","DICER1","MEL","Skin","angiogenesis"
"1467","DICER1","MEL","Skin","escaping programmed cell death"
"1468","DICER1","MEL","Skin","proliferative signalling"
"1469","DICER1","MEL","Skin","genome instability and mutations"
"1470","DICER1","COADREAD","Digestive system","cell replicative immortality"
"1471","DICER1","COADREAD","Digestive system","invasion and metastasis"
"1472","DICER1","COADREAD","Digestive system","angiogenesis"
"1473","DICER1","COADREAD","Digestive system","escaping programmed cell death"
"1474","DICER1","COADREAD","Digestive system","proliferative signalling"
"1475","DICER1","COADREAD","Digestive system","genome instability and mutations"
"1476","DICER1","UCEC","Female genital","cell replicative immortality"
"1477","DICER1","UCEC","Female genital","invasion and metastasis"
"1478","DICER1","UCEC","Female genital","angiogenesis"
"1479","DICER1","UCEC","Female genital","escaping programmed cell death"
"1480","DICER1","UCEC","Female genital","proliferative signalling"
"1481","DICER1","UCEC","Female genital","genome instability and mutations"
"1482","DNMT3A","HCC","Digestive system","proliferative signalling"
"1483","DNMT3A","HCC","Digestive system","escaping programmed cell death"
